sampleRep	PRD1	PRD2	PRD3	PRD4	PRD5	ALR1	ALR2	ALR3	ALR4	ALR5	BFR1	BSF1
Jones~p1~GTSP4938~1	79474	68455	13432	9772	8009	8009	5115	5060	4880	4880	4614	4579
Jones~p1~GTSP4938~2	60532	53342	10042	6934	5336	5336	3181	3057	2965	2965	2748	2617
Jones~p1~GTSP4938~3	64759	58008	11252	8065	6623	6623	4030	4005	3927	3927	3740	3624
Jones~p1~GTSP4938~4	57409	47770	8988	6055	5399	5399	3453	3410	3294	3294	3054	2932
Jones~p1~GTSP4938~5	50728	45575	32247	25108	3569	3569	3038	3012	2716	2716	2631	2546
Jones~p1~GTSP4938~6	46291	41957	29139	22485	3097	3097	2553	2527	2282	2282	2195	2129
Jones~p1~GTSP4938~7	40971	33526	22797	17415	3416	3416	2927	2893	2422	2422	2381	2350
Jones~p1~GTSP4938~8	50221	41957	28872	23109	4133	4133	3316	3199	3094	3094	3036	2998
Jones~p2~GTSP4939~1	69758	59794	13036	8636	6514	6514	4073	4020	3930	3930	3602	3451
Jones~p2~GTSP4939~2	70623	61322	13214	9468	7278	7278	4399	4346	4257	4257	4020	3770
Jones~p2~GTSP4939~3	69046	59184	13573	9891	8106	8106	4760	4691	4532	4532	4104	3604
Jones~p2~GTSP4939~4	67360	59056	14645	11200	9498	9498	5925	5817	5620	5620	5340	5078
Jones~p2~GTSP4939~5	34401	29282	21069	16423	2162	2162	1789	1771	1739	1739	1628	1571
Jones~p2~GTSP4939~6	37117	32327	23292	18326	1974	1974	1636	1586	1519	1519	1417	1296
Jones~p2~GTSP4939~7	28487	24466	17311	13781	2194	2194	1863	1850	1810	1810	1776	1670
Jones~p2~GTSP4939~8	29756	26127	18859	15520	2412	2412	2087	2065	2026	2026	1790	1540
Jones~p3~GTSP4940~1	25080	22821	4077	3381	2787	2787	1861	1767	1693	1693	1513	1469
Jones~p3~GTSP4940~2	60476	53488	11635	9108	7682	7682	4427	4304	4208	4208	3734	3565
Jones~p3~GTSP4940~3	59326	52367	10949	8295	7064	7064	3979	3856	3760	3760	3237	3050
Jones~p3~GTSP4940~4	58805	51954	11283	8472	6945	6945	3882	3811	3676	3676	2959	2733
Jones~p3~GTSP4940~5	36148	32371	20941	17123	3749	3749	2985	2832	2726	2726	2508	2182
Jones~p3~GTSP4940~6	34813	30830	21217	16911	3462	3462	3016	2876	2748	2748	2696	2350
Jones~p3~GTSP4940~7	29687	25965	17407	14220	2385	2385	1987	1948	1904	1904	1857	1687
Jones~p3~GTSP4940~8	27655	24895	16108	12752	2697	2697	2273	2229	2135	2135	2044	1779
Jones~p4~GTSP4941~1	85021	73992	14778	10438	8284	8284	5507	5453	5231	5231	4678	4452
Jones~p4~GTSP4941~2	85743	76865	13961	9600	7927	7927	5108	5002	4908	4908	4587	4348
Jones~p4~GTSP4941~3	89110	79536	16659	12107	10047	10047	6583	6445	6370	6370	6023	5591
Jones~p4~GTSP4941~4	95353	85897	16692	11738	9804	9804	6080	5924	5708	5708	5239	4777
Jones~p4~GTSP4941~5	24304	20935	13880	11522	2446	2446	2020	1945	1913	1913	1781	1678
Jones~p4~GTSP4941~6	25470	22482	14420	11520	2111	2111	1736	1692	1636	1636	1531	1514
Jones~p4~GTSP4941~7	28605	25812	16530	12922	2853	2853	2300	2271	2212	2212	1946	1879
Jones~p4~GTSP4941~8	25965	23115	14394	11966	2533	2533	2127	2086	2043	2043	1885	1674
Jones~p5~GTSP4942~1	87793	80293	20043	12452	11167	11167	7595	7547	7451	7451	6251	6150
Jones~p5~GTSP4942~2	63966	54685	12078	8014	6537	6537	4498	4043	3856	3856	3827	3577
Jones~p5~GTSP4942~3	66467	58895	14698	11750	10411	10411	7335	7144	6928	6928	5381	5283
Jones~p5~GTSP4942~4	59726	43204	10211	7106	4288	4288	2551	2534	2514	2514	2511	2491
Jones~p5~GTSP4942~5	26075	24595	14683	11795	3519	3519	2985	2864	2804	2804	2782	2777
Jones~p5~GTSP4942~6	25002	22953	15884	12343	3492	3492	2969	2931	2882	2882	2816	2740
